単語, SVL, 回数
club, 1, 2024
coat, 1, 64
cold, 1, 392
college, 1, 616
coffee, 1, 175
color, 1, 219
come, 1, 6611
company, 1, 5615
cook, 1, 225
cookie, 1, 84
cool, 1, 320
could, 1, 6441
corner, 1, 1742
count, 1, 375
country, 1, 6038
cover, 1, 858
cry, 1, 201
cow, 1, 112
cup, 1, 2298
cut, 1, 1483
dad, 1, 116
daddy, 1, 7
dance, 1, 181
dangerous, 1, 438
dark, 1, 311
date, 1, 730
daughter, 1, 442
day, 1, 6395
dead, 1, 867
dear, 1, 38
death, 1, 1995
December, 1, 1371
decide, 1, 364
deep, 1, 524
delicious, 1, 21
diary, 1, 28
desk, 1, 110
department, 1, 999
dictionary, 1, 11
did, 1, 4510
die, 1, 1330
difficult, 1, 1003
different, 1, 1432
dinner, 1, 109
dirty, 1, 61
discover, 1, 445
dish, 1, 72
do, 1, 8567
doctor, 1, 483
does, 1, 2491
doll, 1, 70
dog, 1, 266
dollar, 1, 1045
door, 1, 444
down, 1, 3876
draw, 1, 935
dream, 1, 386
dress, 1, 253
drink, 1, 236
drive, 1, 718
driver, 1, 599
drop, 1, 1188
dry, 1, 92
during, 1, 3328
each, 1, 1696
ear, 1, 59
early, 1, 2178
earth, 1, 544
east, 1, 1122
easy, 1, 762
eat, 1, 300
egg, 1, 101
eight, 1, 1079
eighteen, 1, 7
eighty, 1, 16
either, 1, 611
elephant, 1, 54
eleven, 1, 22
else, 1, 482
end, 1, 3868
enjoy, 1, 495
enough, 1, 1288
enter, 1, 694
even, 1, 3880
evening, 1, 347
ever, 1, 1241
every, 1, 1807
everybody, 1, 282
everyone, 1, 840
everything, 1, 918
everywhere, 1, 125
excuse, 1, 114
eye, 1, 610
face, 1, 2105
fact, 1, 932
factory, 1, 228
fall, 1, 2311
family, 1, 2456
famous, 1, 311
far, 1, 1981
farm, 1, 204
farmer, 1, 234
fat, 1, 74
fast, 1, 905
father, 1, 762
February, 1, 1324
feel, 1, 2057
feeling, 1, 485
few, 1, 2272
field, 1, 895
fifteen, 1, 37
fifty, 1, 67
fight, 1, 2238
film, 1, 2155
find, 1, 1552
fine, 1, 550
finger, 1, 142
finish, 1, 421
fire, 1, 1367
first, 1, 8461
fish, 1, 121
five, 1, 2834
flat, 1, 166
floor, 1, 271
flower, 1, 94
fly, 1, 477
food, 1, 1094
fool, 1, 54
foot, 1, 2558
football, 1, 1606
for, 1, 48142
forest, 1, 353
forget, 1, 249
fork, 1, 10
forty, 1, 31
four, 1, 3249
fourteen, 1, 9
fox, 1, 362
free, 1, 4248
fresh, 1, 306
Friday, 1, 2178
friend, 1, 1119
friendly, 1, 185
frog, 1, 35
from, 1, 25263
fruit, 1, 89
front, 1, 1101
full, 1, 1546
fun, 1, 307
funny, 1, 150
future, 1, 1481
game, 1, 5698
garden, 1, 115
gas, 1, 996
gentleman, 1, 19
get, 1, 7402
girl, 1, 736
give, 1, 3135
glad, 1, 75
glass, 1, 273
glove, 1, 96
go, 1, 8186
goal, 1, 3299
God, 1, 287
gold, 1, 478
golden, 1, 388
golf, 1, 307
gone, 1, 615
good, 1, 2641
goodbye, 1, 54
grandfather, 1, 47
grandmother, 1, 39
grass, 1, 55
gray, 1, 115
great, 1, 2551
green, 1, 502
ground, 1, 988
group, 1, 5379
grow, 1, 1629
guest, 1, 277
guide, 1, 206
guitar, 1, 58
gun, 1, 425
hair, 1, 202
hand, 1, 1777
happen, 1, 1440
half, 1, 4330
happiness, 1, 41
happy, 1, 631
has, 1, 23783
hard, 1, 1447
hat, 1, 143
have, 1, 43010
he, 1, 30598
head, 1, 2283
healthy, 1, 233
hear, 1, 934
heart, 1, 615
heavy, 1, 671
hello, 1, 30
help, 1, 3187
her, 1, 6818
here, 1, 2278
hers, 1, 14
hi, 1, 21
high, 1, 4454
hill, 1, 236
him, 1, 4668
his, 1, 21446
history, 1, 1089
hit, 1, 1982
hobby, 1, 32
hole, 1, 313
hold, 1, 2496
holiday, 1, 303
home, 1, 3197
homework, 1, 20
honest, 1, 121
honey, 1, 66
hope, 1, 1988
horse, 1, 209
hot, 1, 375
hospital, 1, 795
hotel, 1, 755
hour, 1, 1783
how, 1, 4351
house, 1, 2019
hundred, 1, 886
hungry, 1, 75
hurry, 1, 25
hurt, 1, 366
husband, 1, 342
I, 1, 19824
ice, 1, 282
idea, 1, 991
if, 1, 7214
ill, 1, 149
important, 1, 1383
in, 1, 115390
inside, 1, 846
interest, 1, 1182
interesting, 1, 230
interested, 1, 298
into, 1, 6718
invite, 1, 274
is, 1, 45890
island, 1, 495
its, 1, 12966
jam, 1, 48
it, 1, 38703
January, 1, 4757
job, 1, 1794
join, 1, 1353
joke, 1, 227
joy, 1, 83
juice, 1, 35
July, 1, 473
jump, 1, 477
June, 1, 540
junior, 1, 178
just, 1, 6048
key, 1, 1243
kick, 1, 2934
keep, 1, 2273
kid, 1, 479
kill, 1, 3061
kind, 1, 984
king, 1, 1034
kiss, 1, 63
kitchen, 1, 77
knee, 1, 239
knife, 1, 96
know, 1, 3253
lady, 1, 166
lake, 1, 174
land, 1, 805
language, 1, 445
large, 1, 2500
last, 1, 10836
late, 1, 1479
later, 1, 2071
laugh, 1, 202
leaf, 1, 16
learn, 1, 428
leave, 1, 1364
left, 1, 4051
leg, 1, 412
lesson, 1, 204
letter, 1, 595
let, 1, 1133
level, 1, 1745
library, 1, 167
light, 1, 795
life, 1, 2804
like, 1, 6588
line, 1, 1626
lion, 1, 69
lip, 1, 41
list, 1, 918
listen, 1, 416
little, 1, 1758
live, 1, 1845
long, 1, 3538
look, 1, 3637
lose, 1, 973
love, 1, 1124
low, 1, 1471
lucky, 1, 147
lunch, 1, 91
machine, 1, 341
magazine, 1, 855
mail, 1, 187
make, 1, 9199
man, 1, 2160
many, 1, 4834
map, 1, 225
March, 1, 972
market, 1, 3694
matter, 1, 908
master, 1, 153
marry, 1, 71
may, 1, 2840
May, 1, 673
me, 1, 2886
meal, 1, 77
mean, 1, 912
meat, 1, 107
meet, 1, 1588
meeting, 1, 1490
member, 1, 2158
memory, 1, 289
men, 1, 1753
meter, 1, 272
middle, 1, 938
midnight, 1, 96
mile, 1, 699
milk, 1, 117
mind, 1, 481
mine, 1, 144
mirror, 1, 181
minute, 1, 2268
miss, 1, 2182
Miss, 1, 234
mistake, 1, 320
Monday, 1, 2245
money, 1, 1812
monkey, 1, 71
month, 1, 4547
moon, 1, 183
more, 1, 12919
morning, 1, 725
most, 1, 5296
mother, 1, 714
mountain, 1, 194
mouse, 1, 90
mouth, 1, 113
move, 1, 2416
movie, 1, 1219
Mr., 1, 3568
Mrs., 1, 137
Ms., 1, 553
much, 1, 3486
museum, 1, 370
musician, 1, 116
music, 1, 821
must, 1, 1227
my, 1, 4201
nail, 1, 44
name, 1, 1909
narrow, 1, 143
natural, 1, 368
near, 1, 1341
necessary, 1, 301
neck, 1, 157
need, 1, 3816
neighbor, 1, 191
never, 1, 1787
new, 1, 11185
news, 1, 2732
newspaper, 1, 785
next, 1, 2692
nice, 1, 244
night, 1, 1320
nine, 1, 897
nineteen, 1, 10
ninety, 1, 14
no, 1, 5884
nobody, 1, 162
noise, 1, 98
none, 1, 293
noon, 1, 23
north, 1, 2153
nose, 1, 117
not, 1, 17041
note, 1, 615
notebook, 1, 19
nothing, 1, 775
November, 1, 944
now, 1, 5595
number, 1, 3157
nurse, 1, 114
o'clock, 1, 12
October, 1, 787
of, 1, 123807
off, 1, 3949
office, 1, 1797
often, 1, 1195
oh, 1, 142
oil, 1, 2527
OK, 1, 117
old, 1, 3705
on, 1, 47999
once, 1, 1406
one, 1, 11998
only, 1, 5157
open, 1, 2786
or, 1, 10009
orange, 1, 114
order, 1, 1922
other, 1, 8356
our, 1, 4798
out, 1, 8820
ours, 1, 38
outside, 1, 1967
over, 1, 7940
page, 1, 1620
paint, 1, 119
pair, 1, 467
pants, 1, 38
paper, 1, 535
parent, 1, 790
park, 1, 981
part, 1, 3612
party, 1, 2579
pass, 1, 1172
past, 1, 1944
pay, 1, 1715
pen, 1, 187
pencil, 1, 20
people, 1, 9848
percent, 1, 3403
perhaps, 1, 581
pet, 1, 57
person, 1, 940
phone, 1, 1115
photograph, 1, 283
piano, 1, 21
pick, 1, 727
picnic, 1, 6
piece, 1, 557
picture, 1, 899
pig, 1, 73
pilot, 1, 680
pink, 1, 57
pipe, 1, 79
place, 1, 3066
plan, 1, 2515
plane, 1, 752
plant, 1, 431
play, 1, 6455
please, 1, 1431
pocket, 1, 166
point, 1, 4579
police, 1, 3294
policeman, 1, 102
pool, 1, 170
poor, 1, 1334
popular, 1, 731
pork, 1, 72
post, 1, 1881
pot, 1, 69
potato, 1, 36
pound, 1, 251
power, 1, 2331
practice, 1, 554
present, 1, 713
price, 1, 3376
pretty, 1, 516
promise, 1, 638
proud, 1, 256
pull, 1, 589
push, 1, 1014
put, 1, 2593
quarter, 1, 1682
queen, 1, 176
question, 1, 1614
quick, 1, 322
quickly, 1, 706
quiet, 1, 171
rabbit, 1, 47
race, 1, 813
radio, 1, 819
rain, 1, 242
rainy, 1, 26
reach, 1, 1714
read, 1, 1256
ready, 1, 757
real, 1, 2021
really, 1, 2197
receive, 1, 1360
red, 1, 850
remember, 1, 440
restaurant, 1, 315
return, 1, 2019
rice, 1, 204
rich, 1, 506
ride, 1, 291
right, 1, 6388
ring, 1, 333
rise, 1, 984
river, 1, 253
road, 1, 874
robot, 1, 299
rock, 1, 387
rocket, 1, 464
roof, 1, 130
room, 1, 733
rope, 1, 59
rose, 1, 731
round, 1, 1539
rule, 1, 1483
run, 1, 3072
sad, 1, 143
safe, 1, 576
salad, 1, 17
sale, 1, 420
salt, 1, 58
same, 1, 2290
sand, 1, 53
sandwich, 1, 49
Saturday, 1, 1704
say, 1, 43403
save, 1, 1857
scene, 1, 516
school, 1, 1669
science, 1, 629
sea, 1, 577
season, 1, 3053
seat, 1, 458
second, 1, 3977
secret, 1, 431
see, 1, 4891
seem, 1, 1372
sell, 1, 1579
send, 1, 1761
September, 1, 836
set, 1, 3162
seven, 1, 1167
seventeen, 1, 15
seventy, 1, 21
several, 1, 1806
shake, 1, 381
shall, 1, 58
shape, 1, 268
sharp, 1, 314
she, 1, 7953
sheep, 1, 41
shine, 1, 55
shirt, 1, 238
ship, 1, 448
shop, 1, 308
shoe, 1, 125
shopping, 1, 198
short, 1, 982
should, 1, 2772
shoulder, 1, 191
show, 1, 5587
shower, 1, 62
shut, 1, 265
sick, 1, 148
side, 1, 2748
sign, 1, 1727
silver, 1, 200
silent, 1, 78
simple, 1, 345
since, 1, 4865
sing, 1, 147
singer, 1, 356
sister, 1, 295
sit, 1, 676
six, 1, 2253
sixteen, 1, 10
sixty, 1, 11
size, 1, 584
ski, 1, 176
skiing, 1, 87
skin, 1, 143
sky, 1, 329
sleep, 1, 206
sleepy, 1, 19
slow, 1, 667
slowly, 1, 155
small, 1, 1565
smell, 1, 47
smile, 1, 218
smoke, 1, 151
smoker, 1, 34
smoking, 1, 93
snake, 1, 85
snow, 1, 360
so, 1, 7414
soap, 1, 72
soccer, 1, 189
soda, 1, 15
soft, 1, 128
some, 1, 7307
somebody, 1, 140
someone, 1, 633
something, 1, 1645
sometimes, 1, 548
son, 1, 796
song, 1, 488
sorry, 1, 143
soon, 1, 887
sound, 1, 578
soup, 1, 28
south, 1, 2156
space, 1, 975
speak, 1, 495
speaker, 1, 203
special, 1, 758
speed, 1, 497
spend, 1, 1449
spoon, 1, 6
sport, 1, 1618
spring, 1, 360
square, 1, 423
stamp, 1, 108
stand, 1, 1081
star, 1, 1817
start, 1, 3615
station, 1, 663
stay, 1, 960
still, 1, 3867
step, 1, 1300
stone, 1, 189
stop, 1, 1390
store, 1, 780
story, 1, 996
straight, 1, 685
strange, 1, 139
street, 1, 1274
strong, 1, 1447
study, 1, 1153
student, 1, 954
subway, 1, 74
such, 1, 3142
suddenly, 1, 178
sugar, 1, 56
suit, 1, 266
summer, 1, 748
sun, 1, 430
Sunday, 1, 2338
supermarket, 1, 333
sure, 1, 945
sweet, 1, 99
surprise, 1, 395
swim, 1, 57
switch, 1, 249
table, 1, 400
take, 1, 8636
talk, 1, 2301
tape, 1, 112
taste, 1, 178
tall, 1, 112
taxi, 1, 150
tea, 1, 140
teach, 1, 264
teacher, 1, 331
team, 1, 4459
telephone, 1, 217
television, 1, 759
ten, 1, 346
tell, 1, 5306
tennis, 1, 473
tent, 1, 64
test, 1, 1231
textbook, 1, 45
than, 1, 8472
thank, 1, 598
that, 1, 53048
the, 1, 304535
their, 1, 13111
them, 1, 5842
theirs, 1, 26
then, 1, 3766
there, 1, 9723
these, 1, 3001
they, 1, 16848
thick, 1, 65
thin, 1, 104
thing, 1, 2683
think, 1, 3255
third, 1, 2177
thirteen, 1, 14
thirty, 1, 58
this, 1, 17351
those, 1, 3851
though, 1, 1464
three, 1, 4892
thousand, 1, 1000
through, 1, 3504
throw, 1, 627
Thursday, 1, 1858
ticket, 1, 452
tie, 1, 584
tiger, 1, 241
till, 1, 27
time, 1, 10450
tired, 1, 85
to, 1, 134656
today, 1, 1792
toe, 1, 54
together, 1, 979
toilet, 1, 48
tomato, 1, 14
tongue, 1, 39
tomorrow, 1, 127
tonight, 1, 145
too, 1, 2453
tooth, 1, 92
top, 1, 2882
touch, 1, 401
toward, 1, 593
towel, 1, 20
tower, 1, 71
town, 1, 1249
toy, 1, 248
train, 1, 671
travel, 1, 1028
tree, 1, 205
trip, 1, 619
trouble, 1, 360
TRUE, 1, 0
try, 1, 3646
Tuesday, 1, 2157
tunnel, 1, 135
turn, 1, 3004
twelve, 1, 44
twenty, 1, 97
two, 1, 8794
type, 1, 430
umbrella, 1, 40
uncle, 1, 56
under, 1, 3031
understand, 1, 703
until, 1, 1594
up, 1, 9789
upon, 1, 267
us, 1, 4344
use, 1, 3837
useful, 1, 146
usual, 1, 180
usually, 1, 297
vacation, 1, 77
vegetable, 1, 37
very, 1, 3775
video, 1, 1837
videotape, 1, 13
village, 1, 525
violin, 1, 10
visit, 1, 1522
visitor, 1, 343
voice, 1, 632
wait, 1, 462
wake, 1, 373
walk, 1, 378
wall, 1, 640
want, 1, 4465
war, 1, 2016
warm, 1, 320
was, 1, 34702
wash, 1, 93
watch, 1, 1523
water, 1, 1011
wave, 1, 345
way, 1, 4001
we, 1, 16099
weak, 1, 429
wear, 1, 632
Wednesday, 1, 1964
weekend, 1, 739
week, 1, 4954
welcome, 1, 460
well, 1, 3612
were, 1, 13063
west, 1, 1844
wet, 1, 88
what, 1, 7014
when, 1, 9703
where, 1, 4304
which, 1, 11261
while, 1, 4652
white, 1, 1251
who, 1, 14932
whom, 1, 421
whose, 1, 958
why, 1, 1621
wide, 1, 762
wife, 1, 620
wild, 1, 303
will, 1, 17467
wind, 1, 444
window, 1, 397
wine, 1, 115
winter, 1, 369
wise, 1, 89
with, 1, 33364
without, 1, 1828
woman, 1, 2824
wood, 1, 135
wonderful, 1, 134
word, 1, 903
work, 1, 5444
world, 1, 6968
worry, 1, 302
worst, 1, 544
would, 1, 9807
write, 1, 1306
wrong, 1, 509
yard, 1, 544
year, 1, 18329
yellow, 1, 478
yes, 1, 305
yesterday, 1, 82
you, 1, 11062
young, 1, 1763
your, 1, 3782
yours, 1, 18
zoo, 1, 52
ability, 2, 480
abroad, 2, 288
absent, 2, 59
accent, 2, 57
accept, 2, 580
accident, 2, 274
account, 2, 1063
action, 2, 1219
active, 2, 241
activity, 2, 614
actor, 2, 802
actress, 2, 338
actual, 2, 183
actually, 2, 755
add, 2, 3700
admire, 2, 52
address, 2, 870
adult, 2, 292
adventure, 2, 64
advice, 2, 245
advise, 2, 213
afterward, 2, 84
agency, 2, 1830
agent, 2, 507
agree, 2, 1068
ah, 2, 23
ahead, 2, 1128
aim, 2, 886
airline, 2, 466
alive, 2, 270
allow, 2, 1866
almond, 2, 5
alphabet, 2, 6
amount, 2, 695
angel, 2, 84
announce, 2, 1856
anger, 2, 238
ant, 2, 43
anxious, 2, 44
anyway, 2, 70
anywhere, 2, 136
apart, 2, 222
appear, 2, 2502
appearance, 2, 505
apply, 2, 198
approach, 2, 719
apron, 2, 2
area, 2, 2237
army, 2, 943
arrange, 2, 92
arrangement, 2, 125
arrival, 2, 165
aside, 2, 212
asleep, 2, 32
assist, 2, 1677
attend, 2, 645
attention, 2, 582
audience, 2, 520
automobile, 2, 43
awake, 2, 26
awful, 2, 45
aware, 2, 250
backward, 2, 15
bacon, 2, 23
badly, 2, 147
balance, 2, 321
balloon, 2, 106
band, 2, 274
bar, 2, 463
base, 2, 2398
basic, 2, 302
battle, 2, 910
bay, 2, 287
beach, 2, 191
bean, 2, 41
bear, 2, 226
beard, 2, 65
beat, 2, 1027
beautifully, 2, 12
bee, 2, 30
beauty, 2, 173
beer, 2, 136
belong, 2, 155
behave, 2, 66
belt, 2, 143
bend, 2, 39
beyond, 2, 544
bill, 2, 922
birth, 2, 243
bit, 2, 975
blanket, 2, 58
blame, 2, 527
blind, 2, 95
block, 2, 1602
blood, 2, 333
board, 2, 774
boil, 2, 47
bone, 2, 150
bookshop, 2, 2
bookstore, 2, 35
boring, 2, 40
borrow, 2, 92
boss, 2, 526
bottom, 2, 635
bow, 2, 75
bowl, 2, 1170
boyfriend, 2, 57
brain, 2, 317
brake, 2, 41
branch, 2, 228
brave, 2, 110
breathe, 2, 52
breath, 2, 57
brick, 2, 47
bright, 2, 173
brilliant, 2, 119
broad, 2, 387
broadcast, 2, 318
broken, 2, 253
brush, 2, 67
burn, 2, 191
burst, 2, 136
bush, 2, 186
businessman, 2, 129
butterfly, 2, 14
button, 2, 175
cab, 2, 32
cable, 2, 251
cage, 2, 27
campus, 2, 92
candle, 2, 32
capital, 2, 1608
care, 2, 905
carefully, 2, 110
carpenter, 2, 21
cash, 2, 463
cast, 2, 297
castle, 2, 51
cause, 2, 1316
ceiling, 2, 54
centimeter, 2, 33
cent, 2, 145
central, 2, 1345
century, 2, 654
certainly, 2, 402
chain, 2, 367
champion, 2, 1049
chapter, 2, 84
character, 2, 511
charge, 2, 1860
check, 2, 554
cheek, 2, 35
cheer, 2, 146
cherry, 2, 20
chest, 2, 84
choice, 2, 461
cigar, 2, 18
cigarette, 2, 81
cinema, 2, 121
citizen, 2, 594
claim, 2, 1922
cleaning, 2, 50
clearly, 2, 373
clerk, 2, 11
clinic, 2, 103
cloth, 2, 13
coal, 2, 134
coast, 2, 437
cocoa, 2, 21
coin, 2, 53
collect, 2, 361
colorful, 2, 52
collection, 2, 316
comfortable, 2, 190
comic, 2, 105
comfort, 2, 88
common, 2, 491
companion, 2, 45
compare, 2, 648
complain, 2, 252
completely, 2, 355
complete, 2, 782
computer, 2, 686
concert, 2, 124
condition, 2, 950
content, 2, 759
contain, 2, 388
continue, 2, 2463
control, 2, 1949
conversation, 2, 358
cooking, 2, 42
copy, 2, 348
corn, 2, 35
correct, 2, 146
cost, 2, 1898
cotton, 2, 12
couple, 2, 649
courage, 2, 84
course, 2, 1070
court, 2, 2063
cousin, 2, 75
cowboy, 2, 17
crash, 2, 670
crazy, 2, 128
cream, 2, 39
create, 2, 1733
creation, 2, 169
crew, 2, 267
cross, 2, 797
crowd, 2, 681
crowded, 2, 78
crown, 2, 263
culture, 2, 393
curtain, 2, 41
curve, 2, 35
custom, 2, 91
customer, 2, 1088
cycle, 2, 134
daily, 2, 670
damage, 2, 496
dancer, 2, 37
dancing, 2, 73
danger, 2, 289
dare, 2, 41
deaf, 2, 23
deal, 2, 1998
decision, 2, 1526
deeply, 2, 246
defend, 2, 718
defense, 2, 860
degree, 2, 344
deliver, 2, 611
demand, 2, 1429
dentist, 2, 18
deny, 2, 808
depend, 2, 291
depth, 2, 122
describe, 2, 1045
desert, 2, 144
design, 2, 732
designer, 2, 149
destroy, 2, 374
detail, 2, 707
develop, 2, 361
dial, 2, 24
diamond, 2, 99
difference, 2, 491
difficulty, 2, 190
dig, 2, 108
direct, 2, 673
direction, 2, 294
directly, 2, 291
disappear, 2, 199
discount, 2, 82
discuss, 2, 660
discussion, 2, 370
disease, 2, 656
disk, 2, 3
dislike, 2, 25
distant, 2, 65
distance, 2, 241
district, 2, 397
divide, 2, 108
double, 2, 777
doubt, 2, 464
downstairs, 2, 5
downtown, 2, 73
dozen, 2, 619
drama, 2, 440
drill, 2, 101
drinking, 2, 137
drown, 2, 52
drug, 2, 944
drunk, 2, 40
dust, 2, 93
duty, 2, 214
earn, 2, 599
earring, 2, 6
easily, 2, 326
edge, 2, 389
educate, 2, 56
effect, 2, 666
education, 2, 556
effort, 2, 1646
eighth, 2, 171
eighteenth, 2, 0
eightieth, 2, 0
elbow, 2, 53
elder, 2, 73
electric, 2, 175
electricity, 2, 206
elevator, 2, 33
eleventh, 2, 2
empty, 2, 173
ending, 2, 316
enemy, 2, 245
energy, 2, 1233
engine, 2, 330
engineer, 2, 273
entrance, 2, 76
envelope, 2, 12
equal, 2, 189
eraser, 2, 2
error, 2, 265
escape, 2, 377
especially, 2, 801
event, 2, 1546
everyday, 2, 110
exact, 2, 109
exactly, 2, 345
examination, 2, 67
examine, 2, 177
example, 2, 762
excellent, 2, 123
except, 2, 448
exciting, 2, 172
exercise, 2, 210
exist, 2, 269
exit, 2, 208
expect, 2, 2588
expensive, 2, 343
experience, 2, 916
explain, 2, 924
express, 2, 668
fair, 2, 344
fail, 2, 1098
false, 2, 185
familiar, 2, 208
fan, 2, 1355
fare, 2, 106
fashion, 2, 329
fault, 2, 151
favor, 2, 191
favorite, 2, 295
fear, 2, 901
fax, 2, 10
feed, 2, 335
fellow, 2, 449
female, 2, 448
fence, 2, 92
festival, 2, 276
fifth, 2, 546
fifteenth, 2, 0
fiftieth, 2, 1
figure, 2, 1247
fill, 2, 344
final, 2, 2488
finally, 2, 526
firm, 2, 1368
fisherman, 2, 53
fishing, 2, 104
fit, 2, 360
fix, 2, 151
flag, 2, 309
flight, 2, 1036
float, 2, 49
flood, 2, 168
flow, 2, 256
follow, 2, 1568
following, 2, 1751
foolish, 2, 14
force, 2, 2426
foreign, 2, 1809
foreigner, 2, 151
forever, 2, 123
forgive, 2, 113
form, 2, 1101
formal, 2, 160
former, 2, 2899
fortieth, 2, 0
fortunate, 2, 63
forward, 2, 1047
fourteenth, 2, 0
fourth, 2, 1286
freedom, 2, 629
freeze, 2, 69
friendship, 2, 115
fuel, 2, 782
furniture, 2, 43
further, 2, 1286
gain, 2, 922
garage, 2, 48
gate, 2, 160
gather, 2, 336
general, 2, 1429
generally, 2, 225
gentle, 2, 32
ghost, 2, 65
giant, 2, 588
gift, 2, 172
girlfriend, 2, 97
grade, 2, 250
gorilla, 2, 11
grand, 2, 885
grammar, 2, 31
granddaughter, 2, 29
grandma, 2, 20
grandpa, 2, 2
grandson, 2, 22
grape, 2, 49
grapefruit, 2, 0
grateful, 2, 79
greatly, 2, 101
greatness, 2, 16
greeting, 2, 34
guard, 2, 494
guess, 2, 156
gym, 2, 37
habit, 2, 124
hairbrush, 2, 1
haircut, 2, 25
hall, 2, 346
ham, 2, 427
hamburger, 2, 18
hammer, 2, 89
handkerchief, 2, 2
handle, 2, 249
handsome, 2, 22
hang, 2, 173
happily, 2, 29
harbor, 2, 57
hardly, 2, 118
harm, 2, 144
hate, 2, 248
headache, 2, 57
health, 2, 1440
heat, 2, 267
heaven, 2, 27
height, 2, 139
helicopter, 2, 145
hell, 2, 74
helpful, 2, 54
hero, 2, 247
herself, 2, 175
hey, 2, 75
highly, 2, 376
hide, 2, 139
hiking, 2, 8
himself, 2, 800
holy, 2, 89
hire, 2, 323
homeroom, 2, 0
hook, 2, 64
host, 2, 1042
however, 2, 1812
human, 2, 1823
hunt, 2, 164
illness, 2, 162
image, 2, 889
imagination, 2, 50
imagine, 2, 243
immediate, 2, 311
immediately, 2, 546
importance, 2, 198
impossible, 2, 248
impression, 2, 82
improve, 2, 1000
inch, 2, 273
include, 2, 1929
industry, 2, 1281
inform, 2, 66
information, 2, 1376
insect, 2, 41
ink, 2, 70
instead, 2, 892
intelligent, 2, 54
intend, 2, 129
international, 2, 2906
introduce, 2, 477
invitation, 2, 124
iron, 2, 110
itself, 2, 694
jacket, 2, 89
jeans, 2, 32
jazz, 2, 85
jet, 2, 366
journey, 2, 228
judge, 2, 695
jungle, 2, 24
kilo, 2, 14
kilogram, 2, 38
kilometer, 2, 262
knock, 2, 260
knowledge, 2, 226
labor, 2, 388
lack, 2, 537
lamp, 2, 21
law, 2, 1812
lawyer, 2, 606
lay, 2, 398
lazy, 2, 15
lead, 2, 3251
leader, 2, 2787
least, 2, 1805
leather, 2, 62
lemon, 2, 8
lend, 2, 103
